Chain,Chain ID,Morpho Protocol ID,Identifier,Supply or borrow,Position,Position ID
ethereum,1,1,0x060f95069f9cee9d77263f1f9e5295481584cefd97aa7b2fc9e55444d617fd1a,3,1.1.3.0x060f95069f9cee9d77263f1f9e5295481584cefd97aa7b2fc9e55444d617fd1a,84200075023876012996982221422513348859100887930415321707254585878871348817005
ethereum,1,1,0x0655e0c8686d94d9e0c0d2b78d7f99492676e52d712db5ac061b3c78da4b7587,2,1.1.2.0x0655e0c8686d94d9e0c0d2b78d7f99492676e52d712db5ac061b3c78da4b7587,81305394174267721380749117789353212840816112887822446043991066432351866938322
ethereum,1,1,0x0655e0c8686d94d9e0c0d2b78d7f99492676e52d712db5ac061b3c78da4b7587,3,1.1.3.0x0655e0c8686d94d9e0c0d2b78d7f99492676e52d712db5ac061b3c78da4b7587,48341498933204666675236108339307119213208654759279205122610363498406785709178
ethereum,1,1,0x06cb6aaee2279b46185dc2c8c107b4a56ff6550ea86063ec011fa4a52920841b,2,1.1.2.0x06cb6aaee2279b46185dc2c8c107b4a56ff6550ea86063ec011fa4a52920841b,57533289037876062527148349105193274193691600972152453813135648129975490085227
ethereum,1,1,0x06cb6aaee2279b46185dc2c8c107b4a56ff6550ea86063ec011fa4a52920841b,3,1.1.3.0x06cb6aaee2279b46185dc2c8c107b4a56ff6550ea86063ec011fa4a52920841b,48216087204600921889465073482795758346950416551662728605983992370140280309233
ethereum,1,1,0x06cd324a963c18a7c046be97dba2a4af9b82f0ca3a2e451a38ccfb9c76667e5f,2,1.1.2.0x06cd324a963c18a7c046be97dba2a4af9b82f0ca3a2e451a38ccfb9c76667e5f,108867617391466206280177006594396966519532833487526488212564788559330358121479
ethereum,1,1,0x06cd324a963c18a7c046be97dba2a4af9b82f0ca3a2e451a38ccfb9c76667e5f,3,1.1.3.0x06cd324a963c18a7c046be97dba2a4af9b82f0ca3a2e451a38ccfb9c76667e5f,46089728558572475102919376453415048775909635691239827929968108357893557017570
ethereum,1,1,0x06f2842602373d247c4934f7656e513955ccc4c377f0febc0d9ca2c3bcc191b1,2,1.1.2.0x06f2842602373d247c4934f7656e513955ccc4c377f0febc0d9ca2c3bcc191b1,79765530298880482320030537849225620820388483246156682979941731563100560645373
ethereum,1,1,0x06f2842602373d247c4934f7656e513955ccc4c377f0febc0d9ca2c3bcc191b1,3,1.1.3.0x06f2842602373d247c4934f7656e513955ccc4c377f0febc0d9ca2c3bcc191b1,15868055711650655095672013448524861440616361089921820750824346561722620397239
ethereum,1,1,0x070030dcd03a08fa6f76a6b9d9a18e28496b9c62043d552f31bfa9b2d519a543,2,1.1.2.0x070030dcd03a08fa6f76a6b9d9a18e28496b9c62043d552f31bfa9b2d519a543,90015856160621707626822438509397029090834530202576617194832371148714397299377
ethereum,1,1,0x070030dcd03a08fa6f76a6b9d9a18e28496b9c62043d552f31bfa9b2d519a543,3,1.1.3.0x070030dcd03a08fa6f76a6b9d9a18e28496b9c62043d552f31bfa9b2d519a543,31746454659707932616941166926353532971079227131054469213521786468879308149561
ethereum,1,1,0x0716a7a07f28196759311ac1cdc9b3faf63d9834375169d34d72725eda272f5b,2,1.1.2.0x0716a7a07f28196759311ac1cdc9b3faf63d9834375169d34d72725eda272f5b,110711834455202385030491133964464490108868178015157743905246777159877119768256
ethereum,1,1,0x0716a7a07f28196759311ac1cdc9b3faf63d9834375169d34d72725eda272f5b,3,1.1.3.0x0716a7a07f28196759311ac1cdc9b3faf63d9834375169d34d72725eda272f5b,111458059485682054318436358775901447378423684874195389992590783160499268679841
ethereum,1,1,0x074973eb292ffcb3cb22c71138eed4b2ad7030f5620918d41617609f8270aa4f,2,1.1.2.0x074973eb292ffcb3cb22c71138eed4b2ad7030f5620918d41617609f8270aa4f,34995572427688899003423987157674106831322064112686294567008726205126070501938
ethereum,1,1,0x074973eb292ffcb3cb22c71138eed4b2ad7030f5620918d41617609f8270aa4f,3,1.1.3.0x074973eb292ffcb3cb22c71138eed4b2ad7030f5620918d41617609f8270aa4f,85632014646392108677333231075653986382360143110080718369394440798587848780071
ethereum,1,1,0x0781f40a5eaef72ca4d8f732b5f8067ba4d7e9f90a4ff70e2639c72cf9ee3d42,2,1.1.2.0x0781f40a5eaef72ca4d8f732b5f8067ba4d7e9f90a4ff70e2639c72cf9ee3d42,64107593068024322298273535663832194449468089902294990898223581323558722089289
ethereum,1,1,0x0781f40a5eaef72ca4d8f732b5f8067ba4d7e9f90a4ff70e2639c72cf9ee3d42,3,1.1.3.0x0781f40a5eaef72ca4d8f732b5f8067ba4d7e9f90a4ff70e2639c72cf9ee3d42,10993927161281681537288611054272800032549878283800037246689523958172022585222
ethereum,1,1,0x079e3888506e348c01f59739d61542602410126285f519c522997da45e7beb01,2,1.1.2.0x079e3888506e348c01f59739d61542602410126285f519c522997da45e7beb01,1949596540170042615924632997269255276722486893687465718797656640024245044454
ethereum,1,1,0x079e3888506e348c01f59739d61542602410126285f519c522997da45e7beb01,3,1.1.3.0x079e3888506e348c01f59739d61542602410126285f519c522997da45e7beb01,31121931842615990808859515920572249881809829187007793223621578586581137874285
ethereum,1,1,0x07cd0d69b60deb9f1e6f07025707658969ce1c6ce4f228b0594cc9ecf1a5222a,2,1.1.2.0x07cd0d69b60deb9f1e6f07025707658969ce1c6ce4f228b0594cc9ecf1a5222a,52785846930103748690883860061818005607529641174716824394758919219042695414527
ethereum,1,1,0x07cd0d69b60deb9f1e6f07025707658969ce1c6ce4f228b0594cc9ecf1a5222a,3,1.1.3.0x07cd0d69b60deb9f1e6f07025707658969ce1c6ce4f228b0594cc9ecf1a5222a,32495464769787585770302237992194543478977430206208922034964787509907756017858
ethereum,1,1,0x07fdfe1154f9b10fe0a8107c26e46b2b935234af77e81e560d253af35ed96665,2,1.1.2.0x07fdfe1154f9b10fe0a8107c26e46b2b935234af77e81e560d253af35ed96665,104388751814374098883607051467206575474506087058851460973237977606531836055315
ethereum,1,1,0x07fdfe1154f9b10fe0a8107c26e46b2b935234af77e81e560d253af35ed96665,3,1.1.3.0x07fdfe1154f9b10fe0a8107c26e46b2b935234af77e81e560d253af35ed96665,17351715412226552658267101104716759961515650367404942817693142675995278724923
ethereum,1,1,0x08535810feadf52d61a182dc7a12ba78f9b38a829ee477e0e1d488d4e262bc0a,2,1.1.2.0x08535810feadf52d61a182dc7a12ba78f9b38a829ee477e0e1d488d4e262bc0a,97839944435258522783618336852276327749211687668898178534936435781490547742575
ethereum,1,1,0x08535810feadf52d61a182dc7a12ba78f9b38a829ee477e0e1d488d4e262bc0a,3,1.1.3.0x08535810feadf52d61a182dc7a12ba78f9b38a829ee477e0e1d488d4e262bc0a,67034798432448906393600114973647437855375641318531598548440483591275308952271
ethereum,1,1,0x08bd0186c5d6ee272f973a307815ac9a8f5ed42bc8308d4b109f254011776c34,2,1.1.2.0x08bd0186c5d6ee272f973a307815ac9a8f5ed42bc8308d4b109f254011776c34,26288245973541731141667604012400600449305756106830404628771964780221487680315
